,index,age_upon_intake,animal_id,animal_type,breed,color,datetime,datetime2,found_location,intake_condition,intake_type,name,sex_upon_intake,lat,long,zipcode,age_upon_outcome,date_of_birth,outcome_datetime,outcome_subtype,outcome_type,sex_upon_outcome,HouseholdIncome
36,39,1 year,A789583,Dog,German Shepherd Mix,Tan/Black,2019-02-24T11:01:00.000,2019-02-24T11:01:00.000,4550 Mueller Boulevard in Austin (TX),Normal,Stray,Vixen,Spayed Female,30.2972641,-97.70726599999999,78723,1 year,2018-02-24T00:00:00.000,2019-02-26T13:37:00.000,,Return to Owner,Spayed Female,"$34,242.00"
37,41,4 years,A787791,Dog,Miniature Schnauzer Mix,Brown/Gray,2019-01-19T18:31:00.000,2019-01-19T18:31:00.000,2309 Berkley Avenue in Austin (TX),Normal,Stray,Dusty,Intact Male,30.20941109999999,-97.80684380000001,78745,4 years,2015-01-20T00:00:00.000,2019-01-20T17:55:00.000,,Return to Owner,Intact Male,"$43,458.00"
38,42,7 years,A788947,Cat,Domestic Shorthair Mix,Blue Tabby,2019-02-12T11:57:00.000,2019-02-12T11:57:00.000,Austin (TX),Normal,Owner Surrender,Reef,Neutered Male,30.267153,-97.7430608,78702,,,,,,,"$23,348.00"
39,43,1 year,A787425,Dog,Chihuahua Shorthair Mix,Black/White,2019-02-06T17:58:00.000,2019-02-06T17:58:00.000,Austin (TX),Normal,Owner Surrender,Michelle,Spayed Female,30.267153,-97.7430608,78702,1 year,2018-01-12T00:00:00.000,2019-01-22T17:28:00.000,,Adoption,Spayed Female,"$23,348.00"
40,43,1 year,A787425,Dog,Chihuahua Shorthair Mix,Black/White,2019-02-06T17:58:00.000,2019-02-06T17:58:00.000,Austin (TX),Normal,Owner Surrender,Michelle,Spayed Female,30.267153,-97.7430608,78702,1 year,2018-01-12T00:00:00.000,2019-02-09T13:29:00.000,,Adoption,Spayed Female,"$23,348.00"
41,44,2 years,A787776,Cat,Siamese Mix,Lynx Point,2019-01-19T16:03:00.000,2019-01-19T16:03:00.000,5400 Friedrich Ln in Austin (TX),Other,Owner Surrender,Purrmonster,Neutered Male,30.2000489,-97.75682719999999,78744,2 years,2017-01-19T00:00:00.000,2019-01-22T17:44:00.000,,Adoption,Neutered Male,"$38,256.00"
42,45,4 months,A787589,Dog,German Shepherd/Great Pyrenees,Tan/Tricolor,2019-01-16T12:32:00.000,2019-01-16T12:32:00.000,1151 Lott Avenue in Austin (TX),Normal,Stray,,Intact Female,30.274355,-97.6817097,78721,4 months,2018-09-01T00:00:00.000,2019-01-20T16:12:00.000,,Adoption,Spayed Female,"$26,646.00"
43,47,2 years,A787124,Dog,Pit Bull Mix,Gray/White,2019-01-08T08:54:00.000,2019-01-08T08:54:00.000,Alpine Drive And Geneva Drive in Travis (TX),Injured,Stray,,Intact Female,30.32053399999999,-97.6732675,78723,2 years,2017-01-08T00:00:00.000,2019-01-12T18:00:00.000,,Adoption,Spayed Female,"$34,242.00"
44,48,4 years,A786772,Dog,Rat Terrier Mix,Tricolor/Brown,2019-01-01T13:41:00.000,2019-01-01T13:41:00.000,1000 San Marcos Street in Austin (TX),Normal,Stray,Perla,Spayed Female,30.2685734,-97.7315707,78702,5 years,2014-01-03T00:00:00.000,2019-01-04T13:04:00.000,,Return to Owner,Spayed Female,"$23,348.00"
45,49,2 years,A787143,Dog,Dachshund Mix,Tricolor,2019-01-08T12:37:00.000,2019-01-08T12:37:00.000,12002 Thomkins Drive in Austin (TX),Normal,Stray,,Neutered Male,30.383631,-97.6628435,78753,2 years,2017-01-08T00:00:00.000,2019-01-13T12:30:00.000,Partner,Transfer,Neutered Male,"$38,206.00"
