,index,age_upon_intake,animal_id,animal_type,breed,color,datetime,datetime2,found_location,intake_condition,intake_type,name,sex_upon_intake,lat,long,zipcode,age_upon_outcome,date_of_birth,outcome_datetime,outcome_subtype,outcome_type,sex_upon_outcome,HouseholdIncome
89,100,2 years,A789182,Cat,Domestic Shorthair Mix,Black/White,2019-02-16T18:37:00.000,2019-02-16T18:37:00.000,4515 Credo Lane in Austin (TX),Normal,Stray,,Intact Male,30.2369554,-97.5717385,78725,2 years,2017-02-16T00:00:00.000,2019-02-28T18:00:00.000,Snr,Transfer,Intact Male,"$47,076.00"
90,101,11 months,A776402,Dog,Australian Kelpie Mix,Black/Tan,2019-02-11T12:53:00.000,2019-02-11T12:53:00.000,9033 Research in Austin (TX),Normal,Public Assist,*Corky,Spayed Female,30.3734316,-97.7246547,78758,11 months,2018-03-13T00:00:00.000,2019-02-20T17:57:00.000,,Adoption,Spayed Female,"$42,398.00"
91,102,1 month,A787177,Dog,Chihuahua Shorthair,Cream,2019-01-08T18:39:00.000,2019-01-08T18:39:00.000,7324 Cameron Road in Austin (TX),Normal,Stray,,Intact Male,30.32898239999999,-97.69087069999999,78752,2 months,2018-11-09T00:00:00.000,2019-01-13T12:31:00.000,Partner,Transfer,Intact Male,"$30,207.00"
92,103,2 years,A787348,Dog,Chihuahua Shorthair Mix,Black/White,2019-01-11T15:15:00.000,2019-01-11T15:15:00.000,10703 North Platt River in Austin (TX),Normal,Stray,,Intact Male,30.1572639,-97.8167617,78748,2 years,2017-01-11T00:00:00.000,2019-01-18T16:48:00.000,,Adoption,Neutered Male,"$57,710.00"
93,104,2 months,A787893,Dog,Boxer Mix,Brown Brindle/White,2019-01-22T11:18:00.000,2019-01-22T11:18:00.000,6223 Boling Drive in Austin (TX),Normal,Stray,,Intact Male,30.2313503,-97.8988976,78736,2 months,2018-11-11T00:00:00.000,2019-01-26T17:15:00.000,,Adoption,Neutered Male,"$62,294.00"
94,106,7 years,A788283,Dog,Cocker Spaniel,Buff,2019-01-29T19:16:00.000,2019-01-29T19:16:00.000,13609 N Ih 35 in Austin (TX),Normal,Public Assist,Winston,Neutered Male,30.4206733,-97.6707856,78753,7 years,2012-01-29T00:00:00.000,2019-01-31T14:09:00.000,,Return to Owner,Neutered Male,"$38,206.00"
95,107,6 years,A782714,Dog,Pit Bull Mix,Black/White,2019-02-02T11:08:00.000,2019-02-02T11:08:00.000,Austin (TX),Normal,Owner Surrender,*Winnie,Spayed Female,30.267153,-97.7430608,78702,6 years,2012-10-20T00:00:00.000,2019-01-18T18:12:00.000,,Adoption,Spayed Female,"$23,348.00"
96,108,5 years,A695072,Dog,Schipperke Mix,Black/White,2019-01-13T11:32:00.000,2019-01-13T11:32:00.000,Wentworth Drive And Loyola Lane in Austin (TX),Normal,Stray,Gizbert,Neutered Male,30.2930505,-97.63155300000001,78724,5 years,2014-01-08T00:00:00.000,2019-01-22T17:53:00.000,,Adoption,Neutered Male,"$36,641.00"
97,109,7 years,A788862,Cat,Maine Coon Mix,Orange Tabby,2019-02-10T12:11:00.000,2019-02-10T12:11:00.000,Austin (TX),Normal,Owner Surrender,Sunny,Neutered Male,30.267153,-97.7430608,78702,7 years,2012-02-10T00:00:00.000,2019-02-14T12:24:00.000,,Adoption,Neutered Male,"$23,348.00"
98,110,2 years,A788549,Dog,Labrador Retriever/Great Pyrenees,Yellow,2019-02-04T14:19:00.000,2019-02-04T14:19:00.000,7622 North Interstate Hiway 35 in Austin (TX),Normal,Stray,*Pearce,Neutered Male,30.338957,-97.70208679999999,78752,2 years,2017-02-04T00:00:00.000,2019-02-16T15:22:00.000,,Adoption,Neutered Male,"$30,207.00"
99,111,10 years,A788444,Dog,Pit Bull Mix,Black/White,2019-02-02T14:08:00.000,2019-02-02T14:08:00.000,Fort Clark Drive And Battle Bend in Austin (TX),Normal,Stray,*Helga,Intact Female,30.203925,-97.765738,78745,,,,,,,"$43,458.00"
100,112,6 months,A788698,Dog,Pointer Mix,Black/White,2019-02-07T10:29:00.000,2019-02-07T10:29:00.000,7000 Decker Lane in Austin (TX),Normal,Stray,*Booster,Intact Male,30.2967014,-97.6256094,78724,6 months,2018-08-07T00:00:00.000,2019-02-16T18:50:00.000,,Adoption,Neutered Male,"$36,641.00"
101,115,1 month,A787631,Dog,Labrador Retriever Mix,Black,2019-01-17T12:33:00.000,2019-01-17T12:33:00.000,6601 Manchaca Road in Austin (TX),Normal,Stray,,Intact Male,30.2066188,-97.8055683,78745,2 months,2018-11-20T00:00:00.000,2019-01-21T18:05:00.000,,Adoption,Neutered Male,"$43,458.00"
102,116,6 months,A788595,Cat,Domestic Shorthair Mix,Blue Tabby,2019-02-05T12:14:00.000,2019-02-05T12:14:00.000,Austin (TX),Normal,Owner Surrender,Bobbi,Intact Female,30.267153,-97.7430608,78702,6 months,2018-08-05T00:00:00.000,2019-02-08T18:46:00.000,,Adoption,Spayed Female,"$23,348.00"
103,117,3 years,A787153,Dog,Cavalier Span,Red/White,2019-01-08T14:28:00.000,2019-01-08T14:28:00.000,Austin (TX),Normal,Owner Surrender,Brandy,Intact Female,30.267153,-97.7430608,78702,3 years,2016-01-08T00:00:00.000,2019-01-08T15:21:00.000,Partner,Transfer,Intact Female,"$23,348.00"
104,118,1 year,A787036,Cat,Domestic Shorthair Mix,Black/White,2019-01-06T16:36:00.000,2019-01-06T16:36:00.000,6604 Clubway Lane in Austin (TX),Normal,Stray,,Unknown,30.2035848,-97.7989636,78745,1 year,2018-01-06T00:00:00.000,2019-01-10T14:13:00.000,Snr,Transfer,Unknown,"$43,458.00"
105,119,7 years,A788109,Dog,Miniature Schnauzer Mix,Brown/Black,2019-01-26T14:58:00.000,2019-01-26T14:58:00.000,East Cesar Chavez St And Pedernales Street in Austin (TX),Normal,Stray,Blackie,Neutered Male,30.2543681,-97.7167638,78702,7 years,2012-01-26T00:00:00.000,2019-01-26T18:14:00.000,,Return to Owner,Neutered Male,"$23,348.00"
106,121,3 months,A787503,Dog,Dachshund Mix,Black/Brown,2019-01-28T12:38:00.000,2019-01-28T12:38:00.000,5803 Nuckols Crossing in Austin (TX),Normal,Stray,Ace,Intact Male,30.1876303,-97.7419673,78744,3 months,2018-09-29T00:00:00.000,2019-01-15T12:59:00.000,,Return to Owner,Intact Male,"$38,256.00"
107,121,3 months,A787503,Dog,Dachshund Mix,Black/Brown,2019-01-28T12:38:00.000,2019-01-28T12:38:00.000,5803 Nuckols Crossing in Austin (TX),Normal,Stray,Ace,Intact Male,30.1876303,-97.7419673,78744,4 months,2018-09-29T00:00:00.000,2019-01-31T17:06:00.000,,Return to Owner,Intact Male,"$38,256.00"
108,122,2 years,A788562,Dog,Pit Bull Mix,Black/White,2019-02-04T16:14:00.000,2019-02-04T16:14:00.000,1043 Springdale Road in Austin (TX),Normal,Stray,Morty,Neutered Male,30.2699647,-97.6923958,78721,2 years,2017-02-04T00:00:00.000,2019-02-04T17:09:00.000,,Return to Owner,Neutered Male,"$26,646.00"
109,123,9 months,A771487,Dog,Labrador Retriever Mix,Brown,2019-01-02T13:05:00.000,2019-01-02T13:05:00.000,2504 New York Drive in Austin (TX),Normal,Stray,Tuna,Spayed Female,30.27412,-97.713797,78702,10 months,2018-03-14T00:00:00.000,2019-01-13T14:45:00.000,Foster,Adoption,Spayed Female,"$23,348.00"
110,124,2 years,A787028,Bird,Duck Mix,White/Yellow,2019-01-06T14:59:00.000,2019-01-06T14:59:00.000,7309 Mc Neil Dr in Austin (TX),Injured,Stray,,Unknown,30.4350006,-97.76675569999999,78729,2 years,2017-01-06T00:00:00.000,2019-01-07T00:00:00.000,Partner,Transfer,Unknown,"$59,497.00"
111,125,2 years,A788148,Other,Raccoon Mix,Black/Brown,2019-01-27T13:39:00.000,2019-01-27T13:39:00.000,15212 Quiet Pond Ct in Austin (TX),Sick,Wildlife,,Unknown,30.4517244,-97.6788689,78728,2 years,2017-01-27T00:00:00.000,2019-01-28T09:09:00.000,Rabies Risk,Euthanasia,Unknown,"$51,078.00"
112,126,1 year,A787301,Dog,Shih Tzu Mix,White/Gray,2019-01-10T18:15:00.000,2019-01-10T18:15:00.000,1430 Frontier Valley in Austin (TX),Normal,Stray,Bear,Intact Male,30.227456,-97.692371,78741,2 years,2017-01-11T00:00:00.000,2019-01-11T12:17:00.000,,Return to Owner,Intact Male,"$25,369.00"
113,127,1 year,A787383,Dog,Beagle/Pug,Tan,2019-01-12T10:52:00.000,2019-01-12T10:52:00.000,9414 North Lamar Boulevard in Austin (TX),Normal,Stray,Legend,Intact Male,30.3645477,-97.6980615,78753,1 year,2018-01-12T00:00:00.000,2019-02-04T19:04:00.000,,Adoption,Neutered Male,"$38,206.00"
114,128,1 year,A761382,Dog,Chinese Sharpei Mix,Red,2019-01-11T18:06:00.000,2019-01-11T18:06:00.000,Austin (TX),Normal,Stray,Cash,Neutered Male,30.267153,-97.7430608,78702,1 year,2017-03-03T00:00:00.000,2019-01-11T18:34:00.000,,Return to Owner,Neutered Male,"$23,348.00"
115,129,4 months,A789236,Dog,German Shepherd Mix,Fawn,2019-02-18T12:04:00.000,2019-02-18T12:04:00.000,8712 Old Manor Road in Austin (TX),Normal,Stray,,Intact Male,30.3270823,-97.6382661,78724,4 months,2018-10-18T00:00:00.000,2019-02-23T18:04:00.000,,Adoption,Neutered Male,"$36,641.00"
116,130,3 years,A789704,Dog,Chihuahua Shorthair Mix,White/Brown,2019-02-26T11:26:00.000,2019-02-26T11:26:00.000,5207 Woodrow in Austin (TX),Normal,Owner Surrender,Snickers,Intact Male,30.3228587,-97.7362596,78756,3 years,2016-02-26T00:00:00.000,2019-03-19T14:26:00.000,Partner,Transfer,Neutered Male,"$36,978.00"
117,131,4 years,A788550,Dog,Shih Tzu Mix,Black/White,2019-02-04T14:34:00.000,2019-02-04T14:34:00.000,15450 Fm 1325 in Austin (TX),Normal,Stray,,Intact Female,30.4658191,-97.6956112,78728,4 years,2015-02-04T00:00:00.000,2019-02-08T11:47:00.000,Partner,Transfer,Intact Female,"$51,078.00"
118,132,1 year,A787914,Dog,German Shepherd Mix,Black Smoke,2019-01-22T14:10:00.000,2019-01-22T14:10:00.000,10601 Ruidosa Street in Travis (TX),Normal,Stray,*Dixon,Intact Male,30.1347272,-97.67828589999999,78719,1 year,2018-01-22T00:00:00.000,2019-01-30T18:34:00.000,,Adoption,Neutered Male,"$36,480.00"
119,133,2 years,A786873,Dog,Boxer/Labrador Retriever,Red/White,2019-01-03T14:19:00.000,2019-01-03T14:19:00.000,2707 Interregional Hiway South in Austin (TX),Normal,Stray,*Blaze,Intact Female,30.2291615,-97.7428161,78741,2 years,2017-01-03T00:00:00.000,2019-01-14T15:19:00.000,,Adoption,Spayed Female,"$25,369.00"
120,134,9 years,A767252,Dog,Chihuahua Shorthair Mix,Tricolor/White,2019-03-03T13:44:00.000,2019-03-03T13:44:00.000,10505 South Ih 35 in Austin (TX),Normal,Stray,Amy,Spayed Female,30.1457946,-97.79070349999999,78747,9 years,2010-01-26T00:00:00.000,2019-03-04T19:15:00.000,,Return to Owner,Spayed Female,"$60,861.00"
121,135,2 years,A780096,Dog,Pit Bull Mix,White/Brown,2019-01-25T14:02:00.000,2019-01-25T14:02:00.000,10807 Thaxton Road in Austin (TX),Normal,Stray,*Ladybird,Spayed Female,30.117598,-97.74243299999999,78747,,,,,,,"$60,861.00"
122,138,12 years,A787227,Dog,Labrador Retriever Mix,Chocolate,2019-01-09T17:36:00.000,2019-01-09T17:36:00.000,Anderson Mill Road And Olson Drive in Austin (TX),Normal,Stray,Millie,Spayed Female,30.4471481,-97.80403319999999,78750,12 years,2007-01-09T00:00:00.000,2019-01-09T18:53:00.000,,Return to Owner,Spayed Female,"$78,428.00"
123,140,1 year,A788923,Dog,Border Terrier Mix,Black/White,2019-02-11T16:30:00.000,2019-02-11T16:30:00.000,2730 East Street Elmo Road in Austin (TX),Normal,Stray,Blacky,Neutered Male,30.253308,-97.712918,78702,1 year,2018-02-11T00:00:00.000,2019-02-12T11:18:00.000,,Return to Owner,Neutered Male,"$23,348.00"
124,142,5 months,A788443,Cat,Domestic Shorthair Mix,Blue,2019-02-02T14:01:00.000,2019-02-02T14:01:00.000,7509 Nunsland Drive in Austin (TX),Normal,Stray,,Intact Female,30.1608665,-97.72895079999999,78744,5 months,2018-09-02T00:00:00.000,2019-02-06T17:18:00.000,,Adoption,Spayed Female,"$38,256.00"
125,143,8 months,A786912,Cat,Domestic Shorthair Mix,Brown Tabby,2019-01-04T11:56:00.000,2019-01-04T11:56:00.000,8002 Lee Hill Drive in Austin (TX),Normal,Stray,,Intact Female,30.2120706,-97.68726459999999,78744,8 months,2018-05-04T00:00:00.000,2019-01-08T11:02:00.000,Snr,Transfer,Intact Female,"$38,256.00"
126,144,1 month,A787486,Cat,Domestic Shorthair Mix,Blue Tabby,2019-01-14T12:19:00.000,2019-01-14T12:19:00.000,5306 South Pleasant Valley Road in Austin (TX),Normal,Stray,*Bert,Intact Male,30.1950866,-97.7450866,78744,2 months,2018-12-04T00:00:00.000,2019-02-22T12:59:00.000,Foster,Adoption,Neutered Male,"$38,256.00"
127,145,1 year,A767054,Dog,Pit Bull Mix,Black/White,2019-01-29T16:02:00.000,2019-01-29T16:02:00.000,Austin (TX),Normal,Owner Surrender,Loki,Neutered Male,30.267153,-97.7430608,78702,1 year,2017-02-22T00:00:00.000,2019-02-08T18:47:00.000,,Adoption,Neutered Male,"$23,348.00"
128,146,6 months,A789459,Cat,Domestic Shorthair Mix,Orange Tabby,2019-02-21T19:08:00.000,2019-02-21T19:08:00.000,12820 North Lamar Boulevard in Austin (TX),Normal,Stray,,Intact Female,30.41511199999999,-97.677791,78753,6 months,2018-08-21T00:00:00.000,2019-02-24T19:00:00.000,Snr,Transfer,Intact Female,"$38,206.00"
129,147,2 years,A787101,Dog,Chihuahua Longhair Mix,Brown/White,2019-01-07T16:34:00.000,2019-01-07T16:34:00.000,829 Airport Boulevard in Austin (TX),Normal,Stray,,Intact Female,30.2569363,-97.69267149999999,78702,2 years,2017-01-07T00:00:00.000,2019-01-08T13:29:00.000,Partner,Transfer,Intact Female,"$23,348.00"
130,148,4 years,A713936,Dog,Bullmastiff,Black Brindle/White,2019-03-03T10:51:00.000,2019-03-03T10:51:00.000,6705 West 290 in Austin (TX),Normal,Stray,Boudreaux,Intact Male,30.2326665,-97.8651027,78735,4 years,2014-12-20T00:00:00.000,2019-03-13T19:11:00.000,,Return to Owner,Intact Male,"$75,204.00"
131,149,2 years,A788043,Dog,Dachshund Mix,White/Brown,2019-01-25T11:37:00.000,2019-01-25T11:37:00.000,Putnam And Ohlen in Austin (TX),Normal,Stray,,Intact Male,30.3619377,-97.72134659999999,78757,2 years,2017-01-25T00:00:00.000,2019-02-01T11:27:00.000,Partner,Transfer,Neutered Male,"$45,090.00"
132,150,4 months,A788331,Dog,Labrador Retriever Mix,White/Brown,2019-01-31T07:29:00.000,2019-01-31T07:29:00.000,Man O War Ave in Austin (TX),Sick,Stray,,Spayed Female,30.1361866,-97.6790444,78719,4 months,2018-10-01T00:00:00.000,2019-01-31T17:56:00.000,Partner,Transfer,Spayed Female,"$36,480.00"
133,151,1 year,A787390,Dog,Labrador Retriever Mix,Black/White,2019-01-12T13:02:00.000,2019-01-12T13:02:00.000,2108 Benwick Circle in Austin (TX),Normal,Stray,*Smokey,Intact Male,30.316644,-97.6852716,78723,1 year,2018-01-12T00:00:00.000,2019-02-19T17:53:00.000,,Adoption,Neutered Male,"$34,242.00"
134,152,1 year,A789025,Dog,Beagle Mix,Black/Tan,2019-02-13T12:58:00.000,2019-02-13T12:58:00.000,1700 Blake Street in Austin (TX),Normal,Stray,*Manny,Intact Male,30.17333929999999,-97.83677449999999,78748,1 year,2018-02-13T00:00:00.000,2019-02-19T00:00:00.000,Partner,Transfer,Intact Male,"$57,710.00"
135,153,8 years,A788479,Dog,Labrador Retriever/Beagle,Red,2019-02-03T12:29:00.000,2019-02-03T12:29:00.000,Austin (TX),Normal,Owner Surrender,Big Guy,Neutered Male,30.267153,-97.7430608,78702,8 years,2011-02-03T00:00:00.000,2019-03-09T15:44:00.000,,Adoption,Neutered Male,"$23,348.00"
136,154,2 years,A787015,Other,Snake,Brown/Black,2019-01-06T11:43:00.000,2019-01-06T11:43:00.000,Brecon Lane And Palace Parkway in Austin (TX),Normal,Public Assist,,Unknown,30.1851433,-97.8043426,78748,2 years,2017-01-06T00:00:00.000,2019-01-08T13:02:00.000,Partner,Transfer,Unknown,"$57,710.00"
137,156,4 years,A788763,Dog,Basset Hound/German Shepherd,Black/Tan,2019-02-08T12:11:00.000,2019-02-08T12:11:00.000,Rancho Alto Road in Austin (TX),Injured,Stray,*Keegan,Intact Male,30.1462779,-97.842607,78748,5 years,2014-02-12T00:00:00.000,2019-03-17T16:54:00.000,Foster,Adoption,Neutered Male,"$57,710.00"
138,158,2 years,A788680,Other,Bat Mix,Black/Brown,2019-02-06T16:43:00.000,2019-02-06T16:43:00.000,8203 View Ridge Drive in Austin (TX),Injured,Wildlife,,Unknown,30.2985283,-97.6275836,78724,2 years,2017-02-06T00:00:00.000,2019-02-06T17:52:00.000,Rabies Risk,Euthanasia,Unknown,"$36,641.00"
139,159,6 years,A642067,Cat,Domestic Longhair Mix,Black,2019-02-14T15:01:00.000,2019-02-14T15:01:00.000,Austin (TX),Normal,Owner Surrender,Noona,Spayed Female,30.267153,-97.7430608,78702,6 years,2012-10-10T00:00:00.000,2019-03-09T16:53:00.000,,Adoption,Spayed Female,"$23,348.00"
140,160,5 years,A786805,Dog,Chihuahua Shorthair Mix,Tan,2019-01-02T11:53:00.000,2019-01-02T11:53:00.000,8600 North Fm 620 in Austin (TX),Normal,Stray,*Wallace,Intact Male,30.4264177,-97.8472051,78726,5 years,2014-01-02T00:00:00.000,2019-02-03T14:19:00.000,,Adoption,Neutered Male,"$89,891.00"
141,162,4 years,A788734,Dog,Dachshund Wirehair Mix,Brown Brindle,2019-02-07T16:51:00.000,2019-02-07T16:51:00.000,5222 Burnet Road in Austin (TX),Normal,Stray,,Intact Female,30.3246506,-97.7403971,78756,5 years,2014-02-10T00:00:00.000,2019-02-10T17:05:00.000,,Return to Owner,Intact Female,"$36,978.00"
142,163,1 year,A783623,Dog,Labrador Retriever Mix,White/Tan,2019-01-29T13:36:00.000,2019-01-29T13:36:00.000,Austin (TX),Normal,Owner Surrender,Max,Neutered Male,30.267153,-97.7430608,78702,1 year,2017-11-03T00:00:00.000,2019-01-19T16:54:00.000,,Adoption,Neutered Male,"$23,348.00"
143,163,1 year,A783623,Dog,Labrador Retriever Mix,White/Tan,2019-01-29T13:36:00.000,2019-01-29T13:36:00.000,Austin (TX),Normal,Owner Surrender,Max,Neutered Male,30.267153,-97.7430608,78702,1 year,2017-11-03T00:00:00.000,2019-01-27T12:02:00.000,,Adoption,Neutered Male,"$23,348.00"
144,163,1 year,A783623,Dog,Labrador Retriever Mix,White/Tan,2019-01-29T13:36:00.000,2019-01-29T13:36:00.000,Austin (TX),Normal,Owner Surrender,Max,Neutered Male,30.267153,-97.7430608,78702,1 year,2017-11-03T00:00:00.000,2019-02-17T13:25:00.000,,Adoption,Neutered Male,"$23,348.00"
145,165,8 years,A786895,Cat,Siamese Mix,Flame Point,2019-01-03T19:00:00.000,2019-01-03T19:00:00.000,1201 Payton Gin Road in Austin (TX),Normal,Stray,Rocky,Neutered Male,30.3602094,-97.7083219,78758,8 years,2011-01-03T00:00:00.000,2019-01-07T13:20:00.000,Partner,Transfer,Neutered Male,"$42,398.00"
146,166,10 months,A788653,Dog,Labrador Retriever Mix,Black/White,2019-02-06T12:05:00.000,2019-02-06T12:05:00.000,Austin (TX),Normal,Owner Surrender,Lacy,Intact Female,30.267153,-97.7430608,78702,10 months,2018-04-06T00:00:00.000,2019-02-12T17:12:00.000,,Adoption,Spayed Female,"$23,348.00"
147,167,2 years,A789106,Dog,Irish Wolfhound Mix,Gray,2019-02-15T10:18:00.000,2019-02-15T10:18:00.000,2406 Wagon Crossing Path in Austin (TX),Normal,Stray,*Guinness,Intact Male,30.1909618,-97.7542118,78744,2 years,2017-02-15T00:00:00.000,2019-02-20T18:55:00.000,Partner,Transfer,Neutered Male,"$38,256.00"
148,168,10 years,A789524,Dog,Golden Retriever Mix,Red,2019-02-23T11:16:00.000,2019-02-23T11:16:00.000,Parmer Lane And Lamplight Village Avenue in Austin (TX),Normal,Stray,Lucky,Intact Male,30.4159018,-97.6958528,78727,10 years,2009-02-23T00:00:00.000,2019-02-24T14:40:00.000,,Return to Owner,Intact Male,"$62,648.00"
149,169,1 year,A788278,Dog,Pit Bull Mix,Blue/White,2019-01-29T17:22:00.000,2019-01-29T17:22:00.000,9701 Fm 1625 in Austin (TX),Normal,Stray,Zulu,Intact Female,30.1239644,-97.7117578,78747,1 year,2017-06-29T00:00:00.000,2019-01-30T12:20:00.000,,Return to Owner,Intact Female,"$60,861.00"
150,170,4 weeks,A788203,Cat,Domestic Shorthair Mix,Blue Tabby/White,2019-01-28T13:34:00.000,2019-01-28T13:34:00.000,9024 Northgate in Austin (TX),Normal,Stray,,Intact Female,30.3700305,-97.71737449999999,78758,2 months,2018-12-26T00:00:00.000,2019-02-27T08:22:00.000,Foster,Adoption,Spayed Female,"$42,398.00"
151,171,2 years,A788042,Dog,Pointer Mix,White/Brown,2019-01-25T11:37:00.000,2019-01-25T11:37:00.000,Putnam And Ohlen in Austin (TX),Normal,Stray,*Lancelot,Neutered Male,30.3619377,-97.72134659999999,78757,2 years,2017-01-25T00:00:00.000,2019-01-29T12:58:00.000,,Return to Owner,Neutered Male,"$45,090.00"
152,172,3 years,A787097,Dog,Chihuahua Shorthair Mix,White/Black,2019-01-07T15:33:00.000,2019-01-07T15:33:00.000,1138 Lott in Austin (TX),Injured,Stray,,Intact Male,30.2737423,-97.68165669999999,78721,3 years,2016-01-07T00:00:00.000,2019-01-14T16:09:00.000,Partner,Transfer,Intact Male,"$26,646.00"
153,173,1 week,A786861,Cat,Domestic Shorthair Mix,Black/White,2019-01-03T12:19:00.000,2019-01-03T12:19:00.000,1616 Royal Crest Drive in Austin (TX),Normal,Stray,,Intact Female,30.238736,-97.731551,78741,2 months,2018-12-27T00:00:00.000,2019-03-09T14:29:00.000,Foster,Adoption,Spayed Female,"$25,369.00"
154,174,2 years,A789258,Dog,German Shepherd Mix,Tan/Black,2019-02-18T14:10:00.000,2019-02-18T14:10:00.000,Rundberg And North Lamar in Austin (TX),Normal,Stray,*Dieter,Intact Male,30.363062,-97.6970274,78753,2 years,2017-02-18T00:00:00.000,2019-02-27T12:24:00.000,Partner,Transfer,Neutered Male,"$38,206.00"
155,175,14 years,A788251,Dog,German Shepherd Mix,Black/Brown,2019-01-29T11:14:00.000,2019-01-29T11:14:00.000,Highway 183 And Burleson Road in Austin (TX),Normal,Stray,Bubba,Intact Male,30.1828424,-97.68748400000001,78719,14 years,2005-01-31T00:00:00.000,2019-02-01T12:02:00.000,,Return to Owner,Intact Male,"$36,480.00"
156,176,1 year,A787604,Cat,Domestic Medium Hair Mix,Tortie,2019-01-16T16:18:00.000,2019-01-16T16:18:00.000,6702 Cannon League Drive in Austin (TX),Normal,Owner Surrender,Gizmo,Intact Female,30.2046954,-97.8036357,78745,1 year,2018-01-16T00:00:00.000,2019-03-21T18:34:00.000,,Adoption,Spayed Female,"$43,458.00"
157,177,9 years,A585197,Dog,Chihuahua Shorthair Mix,Black,2019-02-22T17:58:00.000,2019-02-22T17:58:00.000,1940 Webberville Road in Austin (TX),Injured,Stray,Sasha,Spayed Female,30.2838906,-97.6731981,78721,9 years,2010-01-29T00:00:00.000,2019-02-24T19:01:00.000,In Kennel,Died,Spayed Female,"$26,646.00"
158,178,2 years,A788304,Cat,Domestic Shorthair Mix,Blue Tabby/White,2019-01-30T11:05:00.000,2019-01-30T11:05:00.000,1701 Oak Hill Lane in Austin (TX),Normal,Stray,Phoebe,Intact Female,30.1640737,-97.7848004,78744,2 years,2017-01-30T00:00:00.000,2019-02-19T16:50:00.000,,Adoption,Spayed Female,"$38,256.00"
159,179,2 years,A787362,Dog,Labrador Retriever Mix,Black,2019-01-11T16:52:00.000,2019-01-11T16:52:00.000,Teri Road And Freidrich Lane in Austin (TX),Normal,Stray,Dobby,Intact Male,30.2032989,-97.75394279999999,78744,2 years,2017-01-11T00:00:00.000,2019-01-22T17:32:00.000,,Adoption,Neutered Male,"$38,256.00"
160,180,3 years,A787502,Dog,Pit Bull Mix,Brown Brindle,2019-01-14T15:12:00.000,2019-01-14T15:12:00.000,10707 Lake Creek in Austin (TX),Normal,Stray,,Neutered Male,30.454658,-97.80482099999999,78750,3 years,2016-01-14T00:00:00.000,2019-01-14T15:22:00.000,,Return to Owner,Neutered Male,"$78,428.00"
161,181,2 years,A789923,Other,Fox,Gray/White,2019-03-02T10:19:00.000,2019-03-02T10:19:00.000,8310 Long Canyon Drive in Travis (TX),Sick,Wildlife,,Unknown,30.3717314,-97.817484,78730,2 years,2017-03-02T00:00:00.000,2019-03-03T15:02:00.000,Rabies Risk,Euthanasia,Unknown,"$128,524.00"
162,182,2 years,A785705,Dog,Basenji Mix,Brown/White,2019-01-19T11:37:00.000,2019-01-19T11:37:00.000,3306 Etheredge Dr in Austin (TX),Normal,Stray,Lilo,Intact Female,30.2321865,-97.5920874,78725,2 years,2016-12-08T00:00:00.000,2019-01-27T17:50:00.000,,Adoption,Spayed Female,"$47,076.00"
163,183,2 years,A788622,Dog,Dachshund Mix,Tan,2019-02-05T18:28:00.000,2019-02-05T18:28:00.000,Maha Loop And 183 in Austin (TX),Normal,Stray,Gigi,Intact Female,30.1070851,-97.6946363,78719,2 years,2017-02-05T00:00:00.000,2019-02-09T16:53:00.000,,Adoption,Spayed Female,"$36,480.00"
164,183,2 years,A788622,Dog,Dachshund Mix,Tan,2019-02-05T18:28:00.000,2019-02-05T18:28:00.000,Maha Loop And 183 in Austin (TX),Normal,Stray,Gigi,Intact Female,30.1070851,-97.6946363,78719,2 years,2017-02-05T00:00:00.000,2019-02-24T20:55:00.000,,Return to Owner,Spayed Female,"$36,480.00"
165,185,3 years,A746492,Dog,Labrador Retriever Mix,Black,2019-01-25T19:42:00.000,2019-01-25T19:42:00.000,10903 Pecan Park Blvd in Austin (TX),Normal,Public Assist,Astro,Neutered Male,30.4639917,-97.80385729999999,78750,3 years,2015-04-03T00:00:00.000,2019-01-29T17:57:00.000,,Return to Owner,Neutered Male,"$78,428.00"
166,187,2 years,A787880,Other,Coyote,Gray/Brown,2019-01-21T21:53:00.000,2019-01-21T21:53:00.000,Mc Kinny Falls Pkwy & Dee Gabriel Collins in Travis (TX),Injured,Wildlife,,Unknown,30.1768058,-97.72142339999999,78744,,,,,,,"$38,256.00"
167,188,11 months,A776619,Dog,Chihuahua Shorthair Mix,White/Black,2019-03-02T13:41:00.000,2019-03-02T13:41:00.000,Austin (TX),Normal,Owner Surrender,Firulis,Spayed Female,30.267153,-97.7430608,78702,11 months,2018-03-17T00:00:00.000,2019-03-10T13:42:00.000,,Adoption,Spayed Female,"$23,348.00"
168,189,5 months,A787736,Dog,Golden Retriever Mix,Cream,2019-01-20T13:38:00.000,2019-01-20T13:38:00.000,919 Cottage Bank Trail in Austin (TX),Normal,Stray,Gigi,Intact Female,30.171057,-97.810932,78748,5 months,2018-08-05T00:00:00.000,2019-01-20T18:25:00.000,,Return to Owner,Intact Female,"$57,710.00"
169,191,2 years,A789071,Cat,Domestic Longhair Mix,Brown Tabby/White,2019-02-14T10:11:00.000,2019-02-14T10:11:00.000,6409 Sunstrip in Austin (TX),Normal,Stray,,Intact Male,30.1974532,-97.78227389999999,78745,2 years,2017-02-14T00:00:00.000,2019-02-17T16:49:00.000,Snr,Transfer,Intact Male,"$43,458.00"
